campaignType,targetAudience,channels,estimatedDurationDays,teamSize,mediaBudget,externalCosts,fixedCosts,mainGoals,keyDeliverables,metrics,dependencies,risks,contingencyPercent,estimatedBudget
"Awareness","B2C","Social|Display",30,4,6000,2000,500,"Notoriété","Visuels;Landing","Impressions;Reach","Aucun","Faible engagement",8,12000
"Awareness","B2C","Radio|Social",20,3,4000,800,200,"Notoriété","Spot radio;Posts","Reach;Impressions","Production","Mauvaise diffusion",7,9000
"Retention","SMB","Email|Support",75,2,800,300,100,"Satisfaction","Support emails;Guides","NPS;Churn","Support team","Temps réponse long",5,4000
"Launch","B2B","Events|PR",110,8,25000,20000,3000,"Adoption","Event;PR","Leads;Coverage","Legal","Problème conformité",15,72000
"Branding","GenZ","TikTok|Influencer",33,4,9000,2000,500,"Notoriété","Short videos;UGC","Views;Engagement","Creator contracts","Contenu rejeté",9,15000
"Acquisition","B2C","SEA|Display",26,5,10000,1800,450,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC élevé",8,17000
"Awareness","B2B","LinkedIn|Webinar",52,4,6000,2000,400,"Visibilité","Webinar;Posts","Registrations;Impressions","Speakers","Annulation speaker",7,14000
"Retention","B2C","Email|SMS",28,3,2000,600,150,"Réachat","Offers;Reminders","Repeat rate;Open","DB update","Opt-out",6,7500
"Launch","SMB","Email|SEA",34,5,15000,3000,700,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug signup",11,26000
"Branding","B2C","OOH|TV",80,7,50000,12000,2500,"Notoriété nationale","Spot TV;OOH","Reach;Recall","Production","Coût élevé",14,85000
"Acquisition","GenZ","Social|Influencer",24,4,7000,1000,300,"Installs","Ads;Creators","CPI;Engagement","App team","Rejet store",9,12500
"Awareness","B2C","Display|Video",37,3,6500,900,250,"Visibilité","Vidéo;Bannières","View rate;Impressions","Création","Vidéo non validée",7,11500
"Retention","Millennials","Email|Social",31,3,2800,700,200,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9200
"Launch","B2B","LinkedIn|Events",58,6,11000,9000,1300,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",10,34000
"Branding","SMB","Social|Email",39,4,5200,1600,420,"Image locale","Visuels;Emails","Engagement;Open","Local partners","Ciblage",8,12800
"Acquisition","B2C","SEA|Social",23,5,12500,2200,580,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20500
"Awareness","B2B","PR|LinkedIn",34,3,3200,1100,280,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",7,9500
"Retention","GenZ","App|Push",27,4,2800,600,220,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",6,8200
"Launch","B2C","Social|Influencer",19,6,17500,4200,1100,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,29000
"Branding","Millennials","Social|Events",62,6,8800,5800,880,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation",11,23500
"Acquisition","B2B","LinkedIn|SEA",36,5,18500,3600,1020,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",10,30500
"Awareness","B2C","Radio|Social",21,3,4200,850,210,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",7,9200
"Retention","SMB","Email|Support",78,2,900,320,110,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4200
"Launch","B2B","Events|PR",115,8,25500,20500,3100,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,74000
"Branding","GenZ","TikTok|Influencer",31,4,9200,2100,520,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Rejet contenu",9,15200
"Acquisition","B2C","SEA|Display",25,5,10200,1850,470,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17200
"Awareness","B2B","LinkedIn|Webinar",50,4,6100,2050,420,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14200
"Retention","B2C","Email|SMS",29,3,2100,620,160,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7600
"Launch","SMB","Email|SEA",33,5,15200,3050,720,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26200
"Branding","B2C","OOH|TV",78,7,50500,12100,2550,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,86000
"Acquisition","GenZ","Social|Influencer",26,4,7100,1050,310,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12700
"Awareness","B2C","Display|Video",39,3,6600,920,260,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11700
"Retention","Millennials","Email|Social",32,3,2900,720,210,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9300
"Launch","B2B","LinkedIn|Events",56,6,11200,9200,1350,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,34500
"Branding","SMB","Social|Email",37,4,5300,1650,430,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,12900
"Acquisition","B2C","SEA|Social",24,5,12700,2250,590,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20700
"Awareness","B2B","PR|LinkedIn",35,3,3300,1150,290,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9700
"Retention","GenZ","App|Push",28,4,2900,620,230,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8300
"Launch","B2C","Social|Influencer",20,6,17600,4250,1120,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,29200
"Branding","Millennials","Social|Events",63,6,8900,5900,900,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,23700
"Acquisition","B2B","LinkedIn|SEA",37,5,18700,3650,1040,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,30700
"Awareness","B2C","Radio|Social",22,3,4300,870,220,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9300
"Retention","SMB","Email|Support",80,2,920,330,115,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps",5,4300
"Launch","B2B","Events|PR",118,8,25800,20700,3150,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,75000
"Branding","GenZ","TikTok|Influencer",30,4,9300,2150,530,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Rejet",9,15300
"Acquisition","B2C","SEA|Display",27,5,10300,1870,480,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17300
"Awareness","B2B","LinkedIn|Webinar",51,4,6200,2070,430,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14300
"Retention","B2C","Email|SMS",30,3,2200,630,170,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7700
"Launch","SMB","Email|SEA",32,5,15300,3070,730,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26300
"Branding","B2C","OOH|TV",76,7,51000,12200,2600,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,87000
"Acquisition","GenZ","Social|Influencer",25,4,7200,1070,320,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12800
"Awareness","B2C","Display|Video",38,3,6700,940,270,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11800
"Retention","Millennials","Email|Social",33,3,3000,740,220,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9400
"Launch","B2B","LinkedIn|Events",57,6,11300,9300,1360,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,34600
"Branding","SMB","Social|Email",38,4,5400,1660,440,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,13000
"Acquisition","B2C","SEA|Social",25,5,12800,2270,600,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20800
"Awareness","B2B","PR|LinkedIn",36,3,3400,1180,300,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9800
"Retention","GenZ","App|Push",29,4,3000,640,240,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8400
"Launch","B2C","Social|Influencer",21,6,17700,4300,1140,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,29400
"Branding","Millennials","Social|Events",64,6,9000,6000,920,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,23900
"Acquisition","B2B","LinkedIn|SEA",39,5,18900,3700,1060,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,30900
"Awareness","B2C","Radio|Social",23,3,4400,890,230,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9400
"Retention","SMB","Email|Support",82,2,940,340,120,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps",5,4400
"Launch","B2B","Events|PR",120,8,26000,20800,3200,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,76000
"Branding","GenZ","TikTok|Influencer",32,4,9400,2180,540,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Rejet",9,15400
"Acquisition","B2C","SEA|Display",29,5,10400,1880,490,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17400
"Awareness","B2B","LinkedIn|Webinar",53,4,6300,2080,440,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14400
"Retention","B2C","Email|SMS",31,3,2300,650,180,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7800
"Launch","SMB","Email|SEA",31,5,15400,3080,740,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26400
"Branding","B2C","OOH|TV",79,7,51200,12300,2620,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,87200
"Acquisition","GenZ","Social|Influencer",28,4,7300,1080,330,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12900
"Awareness","B2C","Display|Video",41,3,6800,960,280,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11900
"Retention","Millennials","Email|Social",34,3,3100,760,230,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9500
"Launch","B2B","LinkedIn|Events",59,6,11400,9400,1370,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,34700
"Branding","SMB","Social|Email",40,4,5500,1670,450,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,13100
"Acquisition","B2C","SEA|Social",26,5,12900,2280,610,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20900
"Awareness","B2B","PR|LinkedIn",37,3,3500,1190,310,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9900
"Retention","GenZ","App|Push",30,4,3100,650,250,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8500
"Launch","B2C","Social|Influencer",22,6,17800,4350,1150,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,29600
"Branding","Millennials","Social|Events",65,6,9100,6100,940,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,24000
"Acquisition","B2B","LinkedIn|SEA",40,5,19000,3720,1080,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,31000
"Acquisition","B2C","SEA|Social",30,5,12000,2500,600,"Ventes","Landing;Ads","CPA;CTR","SEO","CPC élevé",8,18000
"Awareness","B2C","Social|Display",25,4,7000,1500,400,"Notoriété","Visuels;Bannières","Impressions;Reach","Création","Faible reach",7,11000
"Retention","SMB","Email|CRM",60,2,1500,600,200,"Fidélisation","Emails;Programmes","Open rate;Churn","Support","Données incomplètes",5,4500
"Launch","B2B","LinkedIn|Events",90,6,14000,10000,1500,"Lancement produit","Event;Demo","Leads;Demos","Dev","Retard livraison",12,36000
"Branding","GenZ","TikTok|Influencer",35,4,9500,2200,500,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Contenu rejeté",9,16000
"Acquisition","B2C","SEA|Display",28,5,11000,1800,450,"Conversions","Ads;Landing","CPA;ROAS","SEO","Concurrence CPC",8,16500
"Awareness","B2B","PR|LinkedIn",40,3,5000,1200,300,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture limitée",7,9500
"Retention","B2C","Email|SMS",20,3,1800,500,150,"Réachat","Offers;Reminders","Repeat rate;Open","DB","Opt-out",6,5200
"Launch","SMB","Email|SEA",45,5,16000,3500,800,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug signup",11,28000
"Branding","Millennials","Social|Events",60,6,10000,6000,900,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation event",10,23000
"Acquisition","B2B","LinkedIn|Email",50,5,20000,4000,1000,"Leads","Ads;Case studies","CPL;MQL","Sales","Cycle long",12,33000
"Awareness","B2C","Radio|Social",22,3,4500,900,220,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",7,9800
"Retention","SMB","Support|Email",80,2,1000,300,120,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4200
"Launch","B2B","Events|PR",120,8,30000,22000,3200,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,82000
"Branding","GenZ","Instagram|Influencer",33,4,8800,2000,520,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",9,15000
"Acquisition","B2C","SEA|Social",26,5,10500,1700,470,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17000
"Awareness","B2B","LinkedIn|Webinar",48,4,7000,2100,420,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,13500
"Retention","B2C","App|Push",30,3,2500,700,200,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out massifs",6,6800
"Launch","SMB","Social|Influencer",18,6,15000,4000,1000,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison lente",12,27000
"Branding","B2C","OOH|Social",55,5,9500,4200,700,"Notoriété locale","Affiches;Posts","Reach;Recall","Permis locaux","Refus emplacement",9,19500
"Acquisition","GenZ","Social|Influencer",24,4,8000,1100,300,"Installs","Ads;Creators","CPI;Engagement","App store","Rejet app",9,12500
"Awareness","B2C","Display|Video",36,3,6200,1000,260,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",7,11200
"Retention","Millennials","Email|Social",34,3,2600,800,210,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation faible",6,9200
"Launch","B2B","LinkedIn|Events",56,6,11500,9500,1300,"Demos","Event;Case studies","Registrations;Demos","Sales","Disponibilité speakers",10,34500
"Branding","SMB","Social|Email",38,4,5200,1500,420,"Image locale","Visuels;Emails","Engagement;Open","Local partners","Ciblage",8,12700
"Acquisition","B2C","SEA|Display",23,5,12500,2100,580,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20200
"Awareness","B2B","PR|LinkedIn",35,3,3300,1150,290,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9700
"Retention","GenZ","App|Social",28,4,2800,650,230,"Engagement","In-app offers;Content","DAU;Retention","App team","Crash app",6,8300
"Launch","B2C","Social|SEA",20,6,17000,4200,1100,"Ventes initiales","Campagne;Landing","Sales;CPA","Stock","Retour produit élevé",12,29500
"Branding","Millennials","Social|PR",58,4,7200,2600,520,"Image de marque","Communiqué;Visuels","Sentiment;Reach","Agence PR","Mauvaise couverture",8,15800
"Acquisition","B2B","LinkedIn|SEA",40,5,18500,3600,1020,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",10,30500
"Awareness","B2C","TV|Social",75,8,62000,15000,3000,"Notoriété","Spot TV;Social","Reach;Impressions","Production","Coût production élevé",15,92000
"Retention","SMB","Email|Webinar",26,2,1600,700,200,"Fidélisation","Webinar;Follow-up","Attendance;NPS","Support","Faible participation",6,6100
"Launch","B2B","Events|LinkedIn",92,6,14500,10200,1550,"Lancement produit","Event;Brochure","Leads;Meetings","Dev release","Retard livraison",12,36500
"Branding","GenZ","TikTok|UGC",34,4,9400,2100,510,"Notoriété","UGC;Shorts","Views;Engagement","Creators","Contenu rejeté",9,15800
"Acquisition","B2C","SEA|Social",29,5,11200,1750,460,"Conversions","Landing;A/B tests","CPA;CTR","SEO","CPC élevé",8,16800
"Awareness","B2B","LinkedIn|Display",46,3,8200,2100,410,"Notoriété","Whitepaper;Ads","Impressions;CTR","Sales enablement","Faible reach",7,15200
"Retention","B2C","Email|SMS",22,3,1900,520,160,"Réachat","Offers;Reminders","Repeat rate;Open","DB update","Opt-out",6,5400
"Launch","SMB","Email|Events",62,6,12200,9200,1520,"Onboarding clients","Event;Docs","Sign-ups;Trials","Legal approval","Retard approbation",11,38500
"Branding","B2C","OOH|TV",52,5,9200,4100,680,"Notoriété locale","Affiches;Social","Reach;Recall","Permis locaux","Refus emplacement",9,19800
"Acquisition","GenZ","Social|Influencer",25,4,8200,1250,320,"Installations","Ads;Influencer","CPI;Engagement","App store","Rejet app",9,13200
"Awareness","B2C","Display|Video",38,3,6400,980,255,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo non validée",7,11400
"Retention","Millennials","Email|Social",33,3,2700,750,205,"Engagement","Offers;Content","Open rate;CTR","CRM","Segmentation",6,9100
"Launch","B2B","LinkedIn|Webinar",50,5,10200,8200,1220,"Démonstrations","Webinar;Demo","Registrations;Demos","Dev","Bug produit",10,32500
"Branding","SMB","Social|Email",37,4,5100,1480,410,"Image locale","Visuels;Emails","Engagement;Open rate","Local partners","Mauvaise cible",8,12300
"Acquisition","B2C","SEA|Social",21,6,12800,2050,590,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour élevé",9,20800
"Awareness","B2B","Display|PR",43,3,3900,1180,305,"Visibilité","Ads;Communiqué","Impressions;Mentions","Aucun","Faible reach",7,10100
"Retention","GenZ","App|Push",27,4,2950,680,225,"Engagement","Push;Offers","DAU;Retention","App update","Opt-out",6,8400
"Launch","B2C","Influencer|Social",19,5,16800,4100,1050,"Ventes initiales","Influencer posts;Promo","Sales;Engagement","Logistique","Livraison lente",12,28200
"Branding","Millennials","Social|Events",64,6,9100,5900,910,"Image marque","Event;Content","Sentiment;Reach","Event permits","Annulation event",11,24200
"Acquisition","B2B","LinkedIn|SEA",39,5,18800,3620,1030,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle long",10,30800
"Awareness","B2C","Radio|Social",24,3,4300,860,215,"Notoriété","Spot;Posts","Reach;Impressions","Production","Diffusion",7,9300
"Retention","SMB","Email|Support",76,2,850,310,115,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps réponse",5,4100
"Launch","B2B","Events|PR",112,8,24800,20200,3050,"Adoption","Event;PR","Leads;Coverage","Legal","Problème conformité",15,73500
"Branding","GenZ","Instagram|Influencer",32,4,9000,2050,525,"Notoriété","Visuels;UGC","Engagement;Shares","Creators","Rejet contenu",9,15100
"Acquisition","B2C","SEA|Display",27,5,10100,1820,475,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17100
"Awareness","B2B","LinkedIn|Webinar",49,4,6050,2020,415,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14000
"Retention","B2C","Email|SMS",29,3,2050,610,165,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7500
"Launch","SMB","Email|SEA",34,5,15100,3020,710,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,25900
"Branding","B2C","OOH|TV",79,7,50800,12150,2580,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,86800
"Acquisition","GenZ","Social|Influencer",26,4,7050,1030,305,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,12600
"Awareness","B2C","Display|Video",37,3,6550,910,265,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11600
"Retention","Millennials","Email|Social",31,3,2850,730,215,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9350
"Launch","B2B","LinkedIn|Events",57,6,11150,9050,1330,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,33800
"Branding","SMB","Social|Email",39,4,5350,1620,435,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,12950
"Acquisition","B2C","SEA|Social",24,5,12600,2180,585,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,20600
"Awareness","B2B","PR|LinkedIn",36,3,3450,1200,315,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,9850
"Retention","GenZ","App|Push",28,4,2980,640,235,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8450
"Launch","B2C","Social|Influencer",21,6,17400,4280,1130,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,29100
"Branding","Millennials","Social|Events",63,6,8950,5950,915,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,23800
"Acquisition","B2B","LinkedIn|SEA",38,5,18600,3580,1015,"Leads","Ads;Landing","CPL;MQL","Sales","Cycle",10,30300
"Awareness","B2C","Radio|Social",23,3,4400,880,225,"Notoriété","Spot;Posts","Reach;Impr","Production","Diffusion",7,9400
"Retention","SMB","Email|Support",82,2,930,335,118,"Satisfaction","Guides;Support","NPS;Churn","Support","Temps",5,4250
"Launch","B2B","Events|PR",118,8,25900,20750,3170,"Adoption","Event;PR","Leads;Coverage","Legal","Conformité",15,75200
"Branding","GenZ","TikTok|Influencer",30,4,9350,2120,535,"Notoriété","Shorts;UGC","Views;Engagement","Creators","Rejet",9,15250
"Acquisition","B2C","SEA|Display",25,5,10350,1860,485,"Conversions","Landing;Ads","CPA;CTR","SEO","CPC",8,17350
"Awareness","B2B","LinkedIn|Webinar",51,4,6150,2060,425,"Visibilité","Webinar;Posts","Registrations;Impr","Speakers","Annulation",7,14150
"Retention","B2C","Email|SMS",30,3,2150,625,175,"Réachat","Offers;Reminders","Repeat;Open","DB","Opt-out",6,7650
"Launch","SMB","Email|SEA",32,5,15350,3060,735,"Trials","Landing;Emails","Sign-ups;CPA","Dev","Bug",11,26500
"Branding","B2C","OOH|TV",77,7,51250,12250,2610,"Notoriété","Spot;OOH","Reach;Recall","Production","Coût",14,87500
"Acquisition","GenZ","Social|Influencer",27,4,7150,1090,315,"Installs","Ads;Creators","CPI;Engagement","App","Rejet",9,13000
"Awareness","B2C","Display|Video",39,3,6700,950,275,"Visibilité","Vidéo;Bannières","View rate;Impr","Création","Vidéo",7,11850
"Retention","Millennials","Email|Social",34,3,3050,765,225,"Engagement","Content;Offers","Open;CTR","CRM","Segmentation",6,9550
"Launch","B2B","LinkedIn|Events",59,6,11550,9450,1380,"Demos","Event;Case studies","Registrations;Demos","Sales","Speakers",10,34900
"Branding","SMB","Social|Email",40,4,5450,1680,445,"Image locale","Visuels;Emails","Engagement;Open","Partners","Ciblage",8,13200
"Acquisition","B2C","SEA|Social",26,5,12950,2290,615,"Ventes","Landing;Ads","CPA;ROAS","Stock","Retour",9,21000
"Awareness","B2B","PR|LinkedIn",37,3,3550,1210,320,"Visibilité","Communiqué;Posts","Mentions;Reach","Aucun","Couverture",7,10050
"Retention","GenZ","App|Push",29,4,3050,660,245,"Engagement","Push;Offers","DAU;Retention","App","Opt-out",6,8550
"Launch","B2C","Social|Influencer",22,6,17900,4380,1160,"Ventes initiales","Influencer;Promo","Sales;ROAS","Logistique","Livraison",12,29800
"Branding","Millennials","Social|Events",65,6,9200,6150,950,"Image marque","Event;Content","Sentiment;Reach","Permits","Annulation",11,24400
